Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
538497, 2653290.103721104, 0, 540023, 2587599.608913876, 0, 528739, 2469052.0920869424, 0, 536768, 2451602.6506443326, 0, 
538497, 2639954.4712647586, 1, 540023, 2573069.9501576396, 1, 528739, 2458457.7461793316, 1, 540582, 2516471.177211878, 1, 
537163, 2621463.621200016, 2, 539144, 2532139.052628458, 2, 528739, 2447506.918617314, 2, 541143, 2503672.2452752055, 2, 
531519, 2503202.6744749965, 3, 534993, 2476287.0642119166, 3, 530762, 2490285.0993230822, 3, 542560, 2487948.797564386, 3, 
532194, 2490942.046009967, 4, 533092, 2454612.532682819, 4, 530762, 2473235.3601999893, 4, 537994, 2411662.491529691, 4, 
529424, 2437944.473254287, 5, 531874, 2424513.1758507243, 5, 530762, 2463625.6281646704, 5, 539282, 2410913.2313474678, 5, 
529424, 2415769.1424133987, 6, 531874, 2410679.562194663, 6, 530762, 2447059.1011720896, 6, 539282, 2401575.8670898145, 6, 
529424, 2397438.721690752, 7, 528953, 2371985.8526328476, 7, 529374, 2415252.5993587864, 7, 539282, 2395889.410630106, 7, 
527685, 2378512.4213066273, 8, 529001, 2361080.3158455943, 8, 529458, 2402829.013598689, 8, 539282, 2383414.555068523, 8, 
527685, 2378512.4213066273, 8, 529857, 2353945.747267456, 9, 529458, 2402829.013598689, 8, 539282, 2383414.555068523, 8, 
527685, 2366070.262048279, 10, 529857, 2336907.710391044, 10, 529458, 2390655.9318505228, 10, 535092, 2322758.807156284, 10, 
527685, 2349720.2365845856, 11, 529203, 2307275.8200866063, 11, 529458, 2374173.7759075705, 11, 534388, 2301697.992576971, 11, 
527685, 2349720.2365845856, 11, 529203, 2307275.8200866063, 11, 529458, 2374173.7759075705, 11, 536264, 2316800.5126560065, 12, 
527685, 2349720.2365845856, 11, 529203, 2297333.5392848724, 13, 529458, 2374173.7759075705, 11, 536264, 2316800.5126560065, 12, 
527685, 2349720.2365845856, 11, 529857, 2291248.9931024457, 14, 529458, 2374173.7759075705, 11, 536264, 2316800.5126560065, 12, 
525445, 2306887.725668781, 15, 527735, 2263989.66837245, 15, 528588, 2338943.347004208, 15, 536814, 2311837.242001167, 15, 
525445, 2306887.725668781, 15, 527735, 2250232.7180886064, 16, 528588, 2338943.347004208, 15, 536814, 2311837.242001167, 15, 
525445, 2306887.725668781, 15, 527297, 2238848.0265240856, 17, 528588, 2338943.347004208, 15, 536814, 2311837.242001167, 15, 
525445, 2306887.725668781, 15, 528620, 2227084.125007275, 18, 528588, 2338943.347004208, 15, 536814, 2311837.242001167, 15, 
525445, 2296112.241799898, 19, 529857, 2222099.4530062964, 19, 529820, 2320529.0737504796, 19, 536814, 2301294.926015692, 19, 
520236, 2257265.3806684427, 20, 529104, 2208272.5137269376, 20, 529189, 2313829.593236702, 20, 529378, 2204846.698496976, 20, 
520236, 2257265.3806684427, 20, 529104, 2208272.5137269376, 20, 529189, 2313829.593236702, 20, 526253, 2194332.5908863647, 21, 
520236, 2242764.6477744523, 22, 530664, 2202049.3876007097, 22, 530003, 2301950.726349592, 22, 528750, 2210529.2325304216, 22, 
517946, 2226425.3369531054, 23, 530664, 2193191.682167199, 23, 528057, 2280889.417841412, 23, 527329, 2194845.5865342305, 23, 
519915, 2215059.6721821832, 24, 530664, 2182709.9547424964, 24, 528677, 2277545.088054957, 24, 524094, 2158391.211435594, 24, 
516128, 2182689.967050669, 25, 526542, 2099372.735346648, 25, 528999, 2258843.587570179, 25, 524094, 2146274.4825090026, 25, 
516128, 2175025.615868423, 26, 529782, 2141389.433423608, 26, 528408, 2248342.401100763, 26, 519300, 2106421.9103551563, 26, 
515853, 2168621.067723579, 27, 529782, 2130930.5853664335, 27, 528408, 2242569.9880034463, 27, 520764, 2098749.696571993, 27, 
515853, 2156715.444206696, 28, 531005, 2123067.0677312235, 28, 527919, 2234545.213639832, 28, 521362, 2090289.013208946, 28, 
515853, 2149182.717837277, 29, 530701, 2116318.990215682, 29, 525645, 2215011.998923756, 29, 521362, 2078308.1824985726, 29, 
513449, 2141419.4064452793, 30, 529592, 2099714.795794032, 30, 527852, 2199390.5912419357, 30, 521880, 2072381.7150353186, 30, 
513449, 2122439.10931407, 31, 530338, 2095367.0063087018, 31, 527852, 2195692.979295732, 31, 524348, 2070459.520869163, 31, 
510582, 2086638.3596871272, 32, 530747, 2087389.6020381546, 32, 527852, 2178696.584804969, 32, 525268, 2063374.611799012, 32, 
509827, 2079058.6106012696, 33, 530747, 2081238.3284263753, 33, 527852, 2172611.087029415, 33, 525268, 2048544.5870368667, 33, 
509827, 2058138.6018504496, 34, 530747, 2068653.9035166132, 34, 526126, 2164534.4345320486, 34, 525268, 2043843.3711746417, 34, 
511466, 2047473.7309604913, 35, 530747, 2061687.5502945974, 35, 526126, 2158421.989154107, 35, 528407, 2056250.4851539, 35, 
511628, 2040504.2026292323, 36, 530747, 2055184.5454236218, 36, 526126, 2140480.025471283, 36, 527569, 2050726.5602729495, 36, 
511628, 2027427.823805643, 37, 530747, 2048321.7145768062, 37, 526126, 2132569.942538061, 37, 527569, 2042062.1752340046, 37, 
512020, 2018828.3313552516, 38, 530747, 2042423.1508182287, 38, 528143, 2126378.801223652, 38, 527996, 2034404.905797465, 38, 
513855, 2042124.5978109762, 39, 527648, 1999377.8560796198, 39, 526388, 2105792.921542063, 39, 527996, 2025581.673871354, 39, 
514576, 2033292.0254601405, 40, 528242, 1996157.6859624968, 40, 524271, 2089117.2796081852, 40, 527996, 2015237.7056252777, 40, 
512020, 2002057.980379839, 41, 528883, 1995575.2451581983, 41, 524271, 2085132.3567952437, 41, 527996, 2007669.093278614, 41, 
510819, 1989853.8455641563, 42, 522314, 1938686.8659551342, 42, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523864, 1937816.6196902988, 43, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524041, 1933639.048207983, 44, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524140, 1922171.977803773, 45, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524655, 1920247.150425526, 46, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 520807, 1896670.1806701166, 47, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517989, 1887101.287653798, 48, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517989, 1873551.183463984, 49, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518080, 1867351.7942718605, 50, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518728, 1867158.6990388527, 51, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518728, 1861306.5920777677, 52, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518728, 1852197.176067563, 53, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518728, 1842557.6162949388, 54, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518728, 1838216.568530465, 55, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518762, 1827149.0561718605, 56, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517522, 1815546.963134512, 57, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517522, 1803106.1592003491, 58, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523224, 1867716.2184707932, 59, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524204, 1862121.8966134074, 60, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524204, 1858965.475692654, 61, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524204, 1846345.722591855, 62, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 524204, 1841368.7891789493, 63, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523678, 1826363.3973625044, 64, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523678, 1820482.4068052273, 65, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518239, 1779954.163387809, 66, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518239, 1774101.775366436, 67, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517114, 1767070.9538330783, 68, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517114, 1764446.8189591125, 69, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 518387, 1758296.9646006285, 70, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 521620, 1765954.0672821798, 71, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522037, 1765863.1433550296, 72, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522621, 1799462.3818126083, 73, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522162, 1782004.2587195833, 74, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522444, 1775529.1479512749, 75, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 519674, 1759533.3541233921, 76, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 519674, 1750678.4651382533, 77, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 519288, 1742797.409032678, 78, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 519288, 1732396.7609590741, 79, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 519674, 1728553.8184924826, 80, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 520137, 1729035.9372415943, 81, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 519036, 1711257.477370425, 82, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517607, 1699103.6146811435, 83, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517607, 1693157.4429124568, 84, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 517607, 1690814.1157639155, 85, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522973, 1743512.0830078933, 86, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522973, 1741421.1537945238, 87, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522973, 1734963.972637143, 88, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522973, 1725716.2601887002, 89, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522973, 1715947.514088757, 90, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 522973, 1713048.256846236, 91, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523489, 1711083.6922241237, 92, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523489, 1702276.940554283, 93, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523489, 1693323.730899435, 94, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523225, 1685445.5588025341, 95, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523225, 1677345.643337204, 96, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523225, 1671420.8698561166, 97, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523225, 1670610.4247448002, 98, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523225, 1666093.4660839285, 99, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 523456, 1661003.249849597, 100, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1989853.8455641563, 42, 537021, 1860186.00115682, 101, 525403, 2084934.0104495364, 42, 527996, 1998654.1407299782, 42, 
510819, 1982755.5325130203, 102, 527525, 1756244.7025447383, 102, 524914, 2078277.6663381357, 102, 527996, 1993340.387982385, 102, 
510819, 1977383.965514557, 103, 524484, 1722078.1541605224, 103, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 524484, 1714182.4246731238, 104, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525421, 1715509.6975320154, 105, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525421, 1710452.9580256166, 106, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525421, 1707888.9431636822, 107, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525763, 1698120.0681498463, 108, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525763, 1688386.4678719305, 109, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525763, 1686222.1632390583, 110, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525763, 1680140.7772605128, 111, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525163, 1671126.7214805451, 112, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 526051, 1665852.4334908752, 113, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 526051, 1654976.468719049, 114, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 526051, 1653734.397139602, 115, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525462, 1647022.8894713328, 116, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
