Generacja 1
180954.42823632175, 3, -2.121384909E9
Generacja 100
208285.83547982405, 4, -6.89065441E8
Nadir:,5151, 89234.56056932201
Ideal:,224400, 780.0

First population front
Czas podrozy, Zarobek, Stworzony w generacji
34804.9677911186, 11335, 1
45156.98567298442, 11507, 1
51347.42000213194, 11923, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
14148.15738708346, 11335, 92
16840.04452434036, 11682, 99
16988.23058562772, 11923, 98
17651.75368218155, 12315, 98

